10349,Cut-Out Cookies,3.42105269432068,4,36,402,NA,NA,NA
10350,Kruschicki,4.8461537361145,12,12,23,15M,25M,40M
10351,Chocolate Swirls,3.95238089561462,0,18,77,20M,12M,1H
10352,Old German Honey Cookies,4.19424438476563,82,119,233,NA,NA,NA
10353,Chocolate Chip Cookies II,4.11504411697388,15,97,122,15M,5M,20M
10354,Banana Split Bars,4.81720447540283,25,80,326,NA,NA,NA
103540,Easy Cake Mix Peanut Butter Cookies,4.07142877578735,17,11,273,15M,10M,1H25M
10355,Orange Lunch Box Cookies,4.40000009536743,5,5,607,NA,NA,NA
10356,Never Fail Chocolate Chip Cookies,4.5722541809082,50,292,239,NA,NA,NA
10357,Mom's Sugar Cookies,3.6875,3,14,182,NA,NA,NA
10358,Selma's Best Oatmeal Cookies,4.11111116409302,3,8,160,NA,NA,NA
10359,Butter Cookies III,2.71428561210632,1,6,246,NA,NA,NA
10360,Sour Cream Sugar Cookies I,4.06976747512817,55,78,281,NA,NA,NA
10362,Rolled White Cookies,4.09999990463257,0,9,335,NA,NA,NA
10363,Miami Chocolate Chip Cookies,3.38888883590698,0,14,465,NA,NA,NA
10364,Powdered Sugar Cookies I,4.47368431091309,48,102,142,NA,NA,NA
10365,Grandma's Gingersnap Cookies,4.76914024353027,508,680,121,20M,10M,30M
10366,Tender Crisp Sugar Cookies,4.03999996185303,4,22,173,25M,10M,35M
10367,Nauvoo Gingerbread Cookies,4.49572658538818,25,92,83,25M,10M,1H35M
10368,Double Peanut Butter Cookies I,4.26666688919067,0,24,189,NA,NA,NA
10369,Great Gram's Sugar Cookies,3.875,2,8,109,NA,NA,NA
10370,Cherry Oatmeal Cookies,4,13,25,165,NA,NA,NA
10371,Oatmeal Sugar Cookies,4.21739149093628,3,21,169,NA,NA,NA
10372,Powdered Sugar Cookies II,3.25,0,3,110,NA,NA,NA
10373,Dad's Favorite Peanut Butter Cookies,4.36094665527344,49,143,86,10M,15M,30M
10375,Blue Ribbon Chocolate Chip Cookies,4.1538462638855,0,10,97,15M,12M,27M
10376,Grandma's ChocChip Delights,4,0,1,522,NA,NA,NA
10377,Chocolate Chip Chunk Cookies,4.38709688186646,14,27,315,NA,NA,NA
10379,Caramel Nougat Bar Peanut Butter Cookies,4.62857151031494,3,30,337,NA,NA,NA
10380,Aunt Cora's World's Greatest Cookies,4.67638492584229,18,257,154,15M,15M,1H45M
10382,Buttermilk Chocolate Chip Cookies,4.39344263076782,3,53,155,NA,NA,NA
10383,Ginger Creams,4.40000009536743,2,5,127,NA,NA,NA
10384,Coconut Oatmeal Cookies I,4.64251184463501,44,184,223,NA,NA,NA
10385,Pumpkin Cookies with Penuche Frosting,4.70161294937134,30,105,128,15M,12M,45M
